이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,보관방법,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,제품명,식품유형,원재료명,포장재질,품질유지기한,제조 및 판매원,"포장단위별 내용물의 용량(중량), 수량",성분,제조원,원재료,용량,주소,허가번호,제조일,권장기한
디카페인,커피,경기도 안산시 단원구 만해로 205 타원타크라3 a동 113호 114호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,디그리 01031660563,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
랑케블랙,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
알파 블렌드,커피,부산 중구 중구로29번길 7 1층 오드이븐,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오드이븐 010-9742-0929,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스윗탱고,커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
조바티 디카페인 블렌드,커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
세피아 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처블렌드 B,커피,로컬커피로스터스. 경기도 김포시 양촌읍 불당로 92-10,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,로컬커피 로스터스 01025550698,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
모리 케피어 로부스타 TR4,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,라까프 070-8098-2019,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아침 블랜드,커피,성덕정길 130,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,글루 01023160961,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
코스타리카 라 몬타나 데 라 쿰브레 화이트허니,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 살피콘 게이샤 CM내추럴,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
투게더 블렌드,커피,서울시 마포구 동교로22길 21,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리밀커피 010-3173-2923,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
반달 베어 블랜딩,커피,"오소커피로스터스, 서울시 용산구",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피볶는곰 0262422113,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에스프레션,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
모리 케피어 로부스타 TR4,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,라까프 070-8098-2019,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시다모 파피초 내추럴,커피,"서울특별시 성동구 왕십리로 410, I동 1층 141호 (하왕십리동, 센트라스)",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
엘 살바도르 라 시베리아 레드버번 워시드,커피,경기도 광주시 고불로 450-3 에이스폴딩 뒷편 지층 55도커피로스터스,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,55도 커피로스터스 010-2671-8620,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 아리차 g1 내추럴,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커튼콜,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Parachute (패러슈트),커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
타이거 스모크 블랜드,커피,경북 구미시 산동읍 첨단기업1로 42,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,퍼블릭 커피 로스터즈 010-9328-0036,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Santo Negro 산토네그로,커피,경기 고양시 덕양구 의장로 29-31 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,클라리멘토 010-9290-5005,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스타가이 블랜드,커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피가이 070-4897-3440,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 애플 레드,커피,"서울시 송파구 법원로 114, B동 106호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리프커피 010-9955-1551,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 야라 AB TOP,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-7747-4918,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 반코 고티티 G1 워시드,커피,경기도 광주시 오포읍 수레실길 144,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,한국커피 010-9957-4231,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 싱글 오리진 커피,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
올드네이버,커피,서울특별시 강남구 신사동 526 두인빌딩 지층 2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스티머스 커피팩토리 010-6620-5557,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
피크 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,오드이븐,부산광역시 중구 중구로 29번길 7 오드이븐,주문접수 후 당일제조,제조일로부터 6개월 이내 권장,,원두커피 100%,,,,,,,200g / 1kg,,,,,,,,
자몽 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
하늘에 시그니처 블랜딩,커피원두,,제조일로부터 1년,전면 별도 표기,200g / 1kg,,,코케 고객센터 070-4647-1868,"개봉 후 서늘한 곳에 밀폐하여 보관하시고, 되도록 공기와의 접촉을 피해야합니다.",,"제주시 애월읍 고내3길 14(애월공장), 서울시 마포구 월드컵북로 42다길 14(상암공장)",,,,,,,,,,,,커피원두 100%,주식회사 하늘에커피,,,,,,
DCW 블렌드,커피 원두,"파주시 꽃아마길41, 디카프워크룸",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 500g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
보난자 블렌드,커피원두,서울특별시 용산구 이태원로49길 24,제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,"커피원두 100%(브라질 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
피치 슬럽 블렌드,볶은 커피,"광주광역시 동구 준법로 14, 1층 슬러핀커피",제조일로부터 6개월,별도표기,250g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,"원두 100% (에티오피아 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
허클베리,,,제조일로부터1년,,,,,코케 고객센터 070-4647-1868,건조하고 서늘한 곳에 보관,,,,,,,차군커피,,,별도표기,,,,,차군커피로스터스,커피원두100%,별도표기,경남 밀양시 가곡11길 4,제2017-0611180호,별도표기,제조일로부터 1개월
브라질 캄포 알레그레,커피,"웨이브온커피, 부산광역시 기장군 장안읍 해맞이로 286",제조일로부터 1년,별도 표시,200g / 1kg,밀봉 후 직사광선을 피하여 실온 보관,커피원두100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
Seasonal Blend,볶은커피,"(주)펠트, 경기도 고양시 덕양구 덕은동 74-1 1층",제조일로 부터 1년,후면별도표시,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,볶은 커피,"(주)502커피로스터스, 서울 금천구 가산디지털1로 159-20",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100% (콜롬비아100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
인디언 헤드,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(브라질 50%, 콜롬비아 30%, 베트남 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
룰라바이,원두 커피,"영앤도터스, 서울 마포구 마포대로 156 공덕 프루지오시티 1층 107호",제조일로부터 1년(권장기한 제조일로부터 1달),제조일 별도 표기,200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,"원두 커피(멕시코 70%, 콜롬비아 30%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
Blend N.3,원두,"스탠딩커피로스터스 (주), 서울시 용산구 이태원동 210-8번지",제조일로부터 3개월,별도 표기,200g / 1kg,직사광선 피하고 서늘한 곳,볶은원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
덕분에블렌드,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 과테말라 SHB 싱글오리진,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,별도 표시,1kg,,커피원두 100%,필리그리커피 032-672-9127,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크초콜릿 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,180커피로스터스,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,"원두커피 100% (콜롬비아 50%, 브라질 30%, 인도 20%)",,,,,,,,,,,,,,,
2nd WAVE : Customizing,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 40%, 인도네시아 40%, 에티오피아 20%",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
파나마 코토와 돈케이,커피,"앤써커피, 경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층",제조일로부터 12개월,별도 표시,500g,"직사광선을 피하고, 건냉한 곳에 보관",커피생두(100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
스프링 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시에나,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
꼬수운돌솥밥 블렌딩,커피,서울 동대문구 답십리로 80 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,원더월 커피 로스터스 010-8754-6467,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커넥츠 블렌드,원두커피,"커넥츠커피, 서울특별시 마포구 성지길 60, 1층(국제빌딩)",제조일로부터 12개월,주문일로부터 3일 이내,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.","커피원두100%(콜롬비아 40%, 에티오피아 20%, 과테말라 20%, 코스타리카 15%, 인도 5%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
네이비렄다크 블렌드,커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,칠복상회 010-6521-4889,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 과테말라 블렌드,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,커피원두(과테말라산 100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
스테이블 블렌드,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시즈널 블렌드 '여름',커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
D1,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아게다 블렌딩,커피,서울 서대문구 연희로 46-1,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,웨이즈커피 010-6434-8150,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
숲,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
마일드 블렌딩,커피,"충청남도 논산시 연산면 황룡재로 65, 2층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
젠틀레인 디카페인,원두커피,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,상단에 표시,200g / 1kg,없음,아라비카 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브라질 디카페인,커피,"서울특별시 마포구 월드컵북로6길 88, 2층(동교동)",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리플로우 커피 로스터스 010-4932-9198,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
M블랙,커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 시다모 G1 봄베 와인 내추럴,커피,경기도 고양시 덕양구 행당로 1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드 010-6639-4576,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 시다마 파피초 내추럴,커피,서울시 동작구 솔밭로 97-6,제조일로부터 1년,주문 확인 후 제조,"1kg,500g,200g",,커피원두 100%,싸인포스트커피 010-4879-1791,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 G1 콩가,커피,"리버벨, 서울시 관악구 남현 2길 18 1층",제조일부터 1년 이내,별도 표기,150g / 400g,상온 보관,원두커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
ESPRESSO DECAF(디카페인),볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,,커피원두 100%,마그마커피 070-7599-2210,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,,,,,,,,,,,,,,,,,,,,,
랑케블랙,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인 커피 원두 새벽,커피,"경기도 부천시 양지로92번길 9-3, 106호",제조일로부터 1년,주문 확인 후 제조,200kg,,커피원두 100%,오이르 로스터스 07080283535,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
조바티 디카페인 블렌드,커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 시다모 G1 봄베 와인 내추럴,커피,경기도 고양시 덕양구 행당로 1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드 010-6639-4576,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
라이프 블렌드,커피,경기도 안산시 단원구 만해로 205 타원타크라3 a동 113호 114호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,디그리 01031660563,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
웨이브온 컴페티션 블랜드,커피,부산 기장군 장안읍 해맞이로 286,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,웨이브온 커피 051-727-1660 /2번,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
파나마 페리엔 게이샤 워시드,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 원두 (브라질),커피,"인천 서구 가정로261번길 7 101~102호(석남동, 인천플러스)",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이보크 010-9290-1646,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
비터스윗,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 케라모 G1 워시드,커피,"서울특별시 강남구 테헤란로 129, 지하 1층 2, 3호(역삼동)",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
버밀리온 헤오 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
라 콜리나,커피,서울특별시 중구 청구로 123,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,피어 커피로스터스 010-9388-7053,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아이에스오 백,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 원두,커피,경북 구미시 산동읍 첨단기업1로 42,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,퍼블릭 커피 로스터즈 010-9328-0036,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Snokel (스노클),커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 에티오피아 예가체프 콩가 내추럴,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
레드써클 블렌드,커피,충북 청주시 청원구 내수읍 충청대로 904,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,하우트 커피컴퍼니 070-7503-5677,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 후일라 수프리모,커피,서울시 강남구 강남대로154길 33,제조일로부터 1년,주문 확인 후 제조,250g / 1kg,,커피원두 100%,식물학 커피로스터스 010-6506-4165,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 너티 퍼플,커피,"서울시 송파구 법원로 114, B동 106호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리프커피 010-9955-1551,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 야라 AB TOP,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-7747-4918,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 구지 라요 타라가 워시드,볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,200g / 400g,-,커피원두 100%(에티오피아산),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 G2,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
