이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,ID,보관방법,제품명,원재료,용량,포장재질,제조원,주소,허가번호,제조일,권장기한,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,"포장단위별 내용물의 용량(중량), 수량",식품유형,원재료명,품질유지기한,제조 및 판매원,성분
에티오피아 블렌드,커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,4695,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커먼센스 블렌드,커피,"경기도 일산동구 성석동 78-2, 극동테크 A동 1층 커넥츠커피 로스팅공장",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커넥츠커피 010-5758-1108,3395,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카프 슬럽,디카페인 커피,광주 동구 준법로 14 1층 슬러핀커피로스터스,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,슬러핀 커피 010-2031-5959,3180,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
보난자 블렌드,커피원두,서울특별시 용산구 이태원로49길 24,제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,"커피원두 100%(브라질 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868,1502,,,,,,,,,,,,,,,,,,,,,,
제우스 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,라메르판지비앤알 0522928787,4684,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
J브라운,커피,경기도 고양시 덕양구 행신동741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,4693,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
인도네시아 만델링 G1,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,4604,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 라 레오나 만다린,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,3738,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 어텀 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,3587,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
와이칸,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,,아라비카 원두 100%,코케 고객센터 070-4647-1868,3446,직사광선을 피하고 서늘하고 건조한 곳,,,,,,,,,,,,,,,,,,,,,
디카페인 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,라메르판지 비앤알 0522928787,4686,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
백야 블렌드,원두,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문일로부터 3일 이내,200g / 1kg,햇빛이 들지 않는 상온에 밀폐 보관,"원두 100%(에티오피아, 콜롬비아, 브라질)",오프사이트 0507-1399-2781,281,,,,,,,,,,,,,,,,,,,,,,
마르께,커피,경상북도 경산시 와촌면 갓바위로 67-2(와촌면) (우:38400),제조일로부터 1년,주문일로부터 7일이내,1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(브라질 40%, 콜롬비아 40%, 에티오피아 20%)",코케 고객센터 070-4647-1868,1089,,,,,,,,,,,,,,,,,,,,,,
폴라베어 블랜딩,커피,"오소커피로스터스 , 서울시 용산구",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피볶는곰 0262422113,3605,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 디카페인,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g,1kg",,커피원두 100%,운조커피 010-4535-8819,3895,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
올굳 블렌드,커피,"인천시 부평구 부평대로 337, 1031호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,놈코어 커피 01049722312,4676,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
나이트아울 블렌드,커피,"앤써커피, 경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층",제조일로부터 12개월,별도 표시,1kg,"직사광선을 피하고, 건냉한 곳에 보관",커피생두(100%),코케 고객센터 070-4647-1868,232,,,,,,,,,,,,,,,,,,,,,,
77도 블렌드,원두커피,"55도 커피로스터스, 경기도 성남시 분당구 서현동 175-5번지",제조일로부터24개월,전면 별도 표기,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.",커피원두100%,코케 고객센터 070-4647-1868,217,,,,,,,,,,,,,,,,,,,,,,
조바티 스페셜 블렌드,커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,3912,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 코체레 G2 워시드,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,3459,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 첼베사 워시드,커피,"대구광역시 수성구 청솔로 57, 1층",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,흐드러진커피 01046819876,3810,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
그레이 블렌드,커피,경기 남양주시 불암로109번길 4-29 (별내동) 1층 레인디어커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,레인디어커피컴퍼니 010-3976-1590,3140,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Blend N.4,원두,"스탠딩커피로스터스 (주), 서울시 용산구 이태원동 210-8번지",제조일로부터 3개월,별도 표기,200g / 1kg,직사광선 피하고 서늘한 곳,볶은원두 100%,코케 고객센터 070-4647-1868,72,,,,,,,,,,,,,,,,,,,,,,
올드타운로드 하우스블랜드,커피,경기도 고양시 덕양구 행당로1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드,3928,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디어 베이커,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,500g/ 1kg,서늘한 곳에 보관,"커피원두(브라질산 40%, 에티오피아산 30%, 과테말라산 30%)",코케 고객센터 070-4647-1868,276,,,,,,,,,,,,,,,,,,,,,,
숲,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,118,,,,,,,,,,,,,,,,,,,,,,
얼반아이트 블렌드,커피,"서울특별시 강남구 테헤란로 129, 지하 1층 2, 3호(역삼동)",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,수수커피 010-5068-4771,3908,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙 스트림 4kg,커피,"경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,4kg,,커피원두 100%,루비아 커피 010-2942-3069,4837,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 캔디 그린,커피,"서울시 송파구 법원로 114, B동 106호",제조일로부터 6개월,주문 확인 후 제조,1kg,,커피원두 100%,"서울시 송파구 법원로 114, B동 106호 02-2088-4341",2992,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
그린 블렌딩 커피,,,,,200g / 1kg,,,코케 고객센터 070-4647-1868,1298,,,,,폴리에틸렌 (내면),,,,,,,,제품 상단 별도 표기,,,,,커피,원두커피 100% (상세 함량 별도 표기),제조일로부터 45일,주식회사 링크에프엔비 (전남 장성군 나노산단로 172 2동 1544-3162),
핀카 엘피날 린다 비스타 게이샤,커피,서울시 강남구 강남대로154길 24 준영빌딩 1층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,3553,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
웡카 블렌드,커피,경기도 구리시 아차산로 432번길 18 201호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,어나더룸 010-5134-1306,3010,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
로엄버 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,3900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
세피아 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,3898,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
바다뷰 디카페인,커피,서울특별시 서초구 남부순환로 2457 (서초동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,바다뷰 커피공장 010-9969-3824,3946,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
인도 블랜드,커피,인천광역시 서구 가정로 261번길 7,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이보크 01092901646,3706,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
알토 블렌드,커피,경기도 파주시 문산읍 사목로 69번지 3동,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스트레토 커피팩토리 01086790553,4876,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
ETNA(에트나),볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,,커피원두 100%,마그마커피 070-7599-2210,4445,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,,,,,,,,,,,,,,,,,,,,,
헥사 블렌드,커피원두,"충청북도 청주시 청원구 내수읍 충청대로 904, A동 하우트커피컴퍼니",제조일로부터 1개월,전면 별도 표기,200g / 1kg,공기가 들어가지 않도록 밀봉 또는 밀폐 용기에 담아 서늘한 그늘에 보관하십시오.,커피원두100%,코케 고객센터 070-4647-1868,1103,,,,,,,,,,,,,,,,,,,,,,
우리집블렌드,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,3012,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
몽상스,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,1332,,,,,,,,,,,,,,,,,,,,,,
블렌드 루트 블랙,커피,리프커피,제조일로부터 6개월,주문 확인 후 제조,1kg,,커피원두 100%,서울특별시 송파구 법원로 114 B동 106호 리프커피 02-2088-4341,1725,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Blend Dark,커피,서울 용산구 녹사평대로 224-1,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스탠딩커피 010-7386-0386,1727,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
하늘에 시그니처 블랜딩,커피원두,,제조일로부터 1년,전면 별도 표기,200g / 1kg,,,코케 고객센터 070-4647-1868,1108,"개봉 후 서늘한 곳에 밀폐하여 보관하시고, 되도록 공기와의 접촉을 피해야합니다.",,,,,주식회사 하늘에커피,,,,,,"제주시 애월읍 고내3길 14(애월공장), 서울시 마포구 월드컵북로 42다길 14(상암공장)",,,,,,,,,,커피원두 100%
케냐AA 디카페인,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g,1kg",,커피원두 100%,운조커피 010-4535-8819,3897,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 뚱구리 피베리,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4778,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
플레이어,원두,Steamerscoffee,제조일로부터 2달 이내,상품 뒷면 참조,200g / 1kg,없음,COLOMBIA 40% + INDIA 30% + Ethiopia 20% + Brazil 10%,코케 고객센터 070-4647-1868,12,,,,,,,,,,,,,,,,,,,,,,
피치 슬럽 블렌드,볶은 커피,"광주광역시 동구 준법로 14, 1층 슬러핀커피",제조일로부터 6개월,별도표기,250g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,"원두 100% (에티오피아 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868,1494,,,,,,,,,,,,,,,,,,,,,,
아이올라이트 블렌드,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,별도 표시,1kg,,커피원두 100%,필리그리커피 032-672-9127,3046,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
노 피어,커피,서울특별시 성동구 광나루로4가길 28 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,피어 커피로스터스 010-4501-1464,3402,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크초코 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,1120,,,,,,,,,,,,,,,,,,,,,,
케냐 키린야가 캄완기 AA TOP,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868,1702,,,,,,,,,,,,,,,,,,,,,,
조이가이 블랜드,커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피가이 070-4897-3440,3024,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 리마오호사,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4776,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,4716,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
파나마 코토와 돈케이,커피,"앤써커피, 경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층",제조일로부터 12개월,별도 표시,500g,"직사광선을 피하고, 건냉한 곳에 보관",커피생두(100%),코케 고객센터 070-4647-1868,8,,,,,,,,,,,,,,,,,,,,,,
매뉴얼,볶은 커피,그럼블커피,제조일로부터 6개월,제조일 별도 표기,200g / 1kg,직사광선을 피하고 서늘한 곳에 밀폐보관,"커피원두 100% (브라질, 과테말라, 인도네시아, 에디오피아)",코케 고객센터 070-4647-1868,5,,,,,,,,,,,,,,,,,,,,,,
보니타 블렌딩,커피,"충청남도 논산시 연산면 황룡재로 65, 2층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,4697,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
M1,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,3506,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
바다블렌드,커피,바다뷰커피공장 / 강원도 양양군,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,바다뷰 커피공장 010-9969-3824,3936,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
부릉부릉,커피,경기 군포시 경수대로 455 한솔테크노타운 7층 705-1호 올디스트커피트롤리 / 경기 군포시 고산로539번길 7-6 묘향롯데아파트상가 104호 올디스트커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올디스트커피 경기 군포시 고산로539번길 7-6 묘향롯데아파트상가 104호 올디스트커피,4819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 모틸론,커피,서울특별시 양천구 신정중앙로 32 1층 좌측호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,저스트로스터 010-5632-5026,3147,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 아리차 g1 내추럴,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,3458,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처 블렌드,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,"제품에 따라 제조일자 상이, 로스팅 후 1개월이내 제품 출고",500g/1kg,,커피원두 100%,커피루소 02-2056-7619,3556,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 G2,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,3200,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블루문,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,3042,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
클래식 블렌드,커피,"엘카페커피로스터스, 서울시 영등포구 양평로21나길 7",제조일로부터 1년,제조일 별도표기,200g / 1kg,건냉한 곳에 밀폐보관,원두커피 100%,코케 고객센터 070-4647-1868,140,,,,,,,,,,,,,,,,,,,,,,
밸런스,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,3562,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
온두라스 COE#10 아구아 둘세 게이샤 워시드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,카페소소한사치 010-9340-4364,4841,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 스윗 블라썸 블렌드,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,1kg,,"커피원두(과테말라 70%, 에티오피아 30%)",코케 고객센터 070-4647-1868,4407,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 구지 라요 타라가 워시드,볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,200g / 400g,-,커피원두 100%(에티오피아산),코케 고객센터 070-4647-1868,1589,,,,,,,,,,,,,,,,,,,,,,
다크로스팅 에티오피아 웨스트 아라시 넨세보 만도예 워시드,커피,"경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 010-2942-3069,4726,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
러스트 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,3903,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 파젠다 산타루시아 펄프드내추럴,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,4839,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
허니서클 블렌드,커피,구리시 아차산로 432번길 18 201호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,놈코어커피 010-5134-1306,3011,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브릭 에스프레소,커피,서울시 서초구 효령로 72길 57 E동 B101호 리플렉트커피,제조일로부터 10개월,주문시 로스팅,200g / 1kg,후면에 표기,"커피원두 100%(콜롬비아 50%, 과테말라 30%, 인도 20%)",코케 고객센터 070-4647-1868,1043,,,,,,,,,,,,,,,,,,,,,,
시그니처 블랜드 타이틀드,커피,"서울특별시 성동구 아차산로17길 48, 성수 SK V1 CENTER 401호",제조일로부터 1년,주문일 기준 2주 내 로스팅 상품 출고,1kg,,커피원두 100%,라운지엑스 070-5161-0005,3064,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 세라도 디카페인,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,500g 1kg,,커피원두 100%,운조커피 010-4535-8819,3896,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
고소한 빈도,커피 원두,"서울 양천구 목동중앙서로 33, 1층 빈도 로스터스 커피",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,빈도 로스터스 커피 / 02-2643-2988,4122,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
몬스테라,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,190,,,,,,,,,,,,,,,,,,,,,,
레이크 맥켄지,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(에티오피아70%, 과테말라30%)",코케 고객센터 070-4647-1868,1048,,,,,,,,,,,,,,,,,,,,,,
피어투피어,볶은 커피,"피어커피 로스터스, 서울시 성동구 광나루로 4가길 38 1층",제조일로부터 1년,상품후면표기,1000g,직사광선을 피하고 서늘한 곳에 보관하십시오,커피원두 100%,코케 고객센터 070-4647-1868,1093,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,,콜롬비아 디카페인 커피원두 100%,전광수 커피 010-2936-0501,4737,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 A,커피,"리버벨, 서울시 관악구 남현 2길 18 1층",제조일부터 1년 이내,별도 표기,150g / 1kg,상온 보관,원두커피 100%,코케 고객센터 070-4647-1868,168,,,,,,,,,,,,,,,,,,,,,,
Zero WAVE : Ordinary,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"콜롬비아 75%, 브라질 25%",코케 고객센터 070-4647-1868,1311,,,,,,,,,,,,,,,,,,,,,,
